AppID,Name,Release date,Estimated owners,Price,Metacritic score,Positive,Negative,Categories,Genres,Tags,Total Reviews,Steam Score
1026420,WARSAW,"Oct 2, 2019",20000 - 50000,23.99,62,589,212,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Tablet","Indie,RPG","Tactical RPG,Turn-Based Strategy,Wargame,Historical,Strategy RPG,Perma Death,RPG,Difficult,Turn-Based Combat,2D,Rogue-lite,Party-Based RPG,Strategy,Comic Book,Team-Based,Female Protagonist,Turn-Based Tactics,Hand-drawn,Stylized,World War II",801,0.74
346560,Hero of the Kingdom II,"Feb 20, 2015",100000 - 200000,7.99,0,2046,120,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Adventure,Casual,Indie,RPG","Adventure,Casual,Point & Click,RPG,Indie,Isometric,Singleplayer,Hidden Object,Pirates,Resource Management,Fantasy,Short,Medieval,Strategy,Story Rich,Colorful,Clicker",2166,0.94
434030,Aerofly FS 2 Flight Simulator,"Nov 20, 2017",100000 - 200000,37.49,0,1490,408,"Single-player,Partial Controller Support","Action,Indie,Racing,Simulation","Flight,Simulation,VR,Racing,Physics,Open World,Realistic,Education,Exploration,Jet,3D Vision,Relaxing,3D,Level Editor,America,Singleplayer,TrackIR,Early Access,Indie,Multiplayer",1898,0.79
262150,Vanguard Princess,"Mar 3, 2014",200000 - 500000,2.49,0,2014,841,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Remote Play Together","Action,Casual,Indie","Anime,Fighting,2D Fighter,Indie,Female Protagonist,Action,Nudity,Casual,2D,Mature,Cute,Arcade,Sexual Content,Singleplayer,Beat 'em up,Local Multiplayer,Local Co-Op,Multiplayer,Great Soundtrack,Cartoon",2855,0.71
231330,Deadfall Adventures,"Nov 15, 2013",100000 - 200000,19.99,53,1716,628,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Adventure","Adventure,Action,FPS,Shooter,Multiplayer,First-Person,Singleplayer,Puzzle,Zombies,Co-op,Indie,Horror,Survival,Exploration,Open World,Action-Adventure,World War II,Strategy",2344,0.73
897820,Reigns: Game of Thrones,"Oct 18, 2018",50000 - 100000,3.99,84,698,203,"Single-player,Steam Achievements,Full controller support","Adventure,Indie,RPG","RPG,Indie,Card Game,Adventure,Choices Matter,2D,Medieval,Singleplayer,Minimalist,Choose Your Own Adventure,Strategy,Story Rich,Dark Humor,Great Soundtrack,Difficult,Dark Comedy,Funny,Comedy,Cute",901,0.77
552520,Far Cry® 5,"Mar 26, 2018",2000000 - 5000000,59.99,0,100620,25286,"Single-player,Multi-player,Co-op,Online Co-op,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support,Includes level editor","Action,Adventure","Open World,Co-op,Action,Multiplayer,FPS,Shooter,Adventure,Singleplayer,First-Person,Story Rich,Survival,Stealth,America,Exploration,Hunting,Atmospheric,Character Customization,Great Soundtrack,Sexual Content,Nudity",125906,0.8
1293830,Forza Horizon 4,"Mar 9, 2021",2000000 - 5000000,59.99,0,122539,15095,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Racing,"Racing,Open World,Driving,Multiplayer,Online Co-Op,Automobile Sim,Singleplayer,Realistic,Adventure,PvP,Arcade,Controller,Simulation,Exploration,Action,Sports,Great Soundtrack,Atmospheric,First-Person,Funny",137634,0.89
1557480,Project MIKHAIL: A Muv-Luv War Story,"Nov 1, 2021",20000 - 50000,19.99,0,328,253,"Single-player,Multi-player,PvP,Online PvP,Partial Controller Support","Action,Adventure,RPG,Simulation,Strategy,Early Access","Anime,Mechs,Hack and Slash,Strategy,Sci-fi,Simulation,Dark,Robots,Action RPG,Action-Adventure,RPG,Action,Third Person,Adventure,Tactical,Swordplay,Spectacle fighter,Early Access,PvP,Singleplayer",581,0.56
12140,Max Payne,"Jan 6, 2011",500000 - 1000000,3.49,89,9516,1114,Single-player,Action,"Action,Noir,Classic,Third-Person Shooter,Bullet Time,Story Rich,Atmospheric,Dark,Third Person,Singleplayer,Shooter,Great Soundtrack,Detective,Cinematic,Linear,Crime,Violent,Adventure,Horror,Psychological Horror",10630,0.9
541570,Sally Face - Episode One,"Dec 14, 2016",500000 - 1000000,2.99,0,11739,367,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Adventure,Indie","Story Rich,Psychological Horror,Dark,Horror,Indie,Adventure,Mystery,Atmospheric,Singleplayer,Point & Click,Puzzle,Narrative,Hand-drawn,Interactive Fiction,Supernatural,2D,Emotional,Demons,Dark Humor,Casual",12106,0.97
1066890,Automobilista 2,"Jun 30, 2020",200000 - 500000,23.99,0,4278,491,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Full controller support","Racing,Simulation,Sports","Racing,Simulation,Sports,VR,Automobile Sim,Driving",4769,0.9
457140,Oxygen Not Included,"Jul 30, 2019",2000000 - 5000000,24.99,86,82902,3014,"Single-player,Steam Trading Cards","Indie,Simulation","Colony Sim,Base-Building,Survival,Resource Management,Building,Singleplayer,Management,Simulation,2D,Sandbox,Strategy,Space,Indie,Sci-fi,Exploration,Open World,Difficult,Adventure,Early Access,Multiplayer",85916,0.96
546050,Puyo Puyo™Tetris®,"Feb 27, 2018",500000 - 1000000,19.99,0,4181,806,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Casual","Puzzle,Casual,Competitive,Multiplayer,Action,Cute,Anime,Local Multiplayer,Colorful,Great Soundtrack,Arcade,2D,Classic,4 Player Local,Difficult,Female Protagonist,Funny,Singleplayer,Fighting,Comedy",4987,0.84
730310,DYNASTY WARRIORS 9,"Feb 13, 2018",1000000 - 2000000,44.99,0,3075,6009,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together",Action,"Action,Hack and Slash,Open World,Historical,Musou,Action RPG,Singleplayer,Anime,Co-op,Multiplayer,Great Soundtrack,Third Person,RPG,Adventure,Beat 'em up,Online Co-Op,Free to Play",9084,0.34
1345820,Ragnarock,"Jul 15, 2021",50000 - 100000,16.24,87,2108,111,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements","Casual,Indie,Racing,Sports","Rhythm,VR,Multiplayer,Music,Racing,PvP,Casual,Arcade,Mythology,Naval,First-Person,Stylized,Rock Music,Sports,Atmospheric,Indie,Soundtrack,Singleplayer,Colorful,Vikings,VR Only",2219,0.95
435790,10 Second Ninja X,"Jul 19, 2016",200000 - 500000,0.99,0,2083,481,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on TV","Action,Indie","Action,Indie,Platformer,Puzzle-Platformer,Difficult,Ninja,Fast-Paced,2D,Side Scroller,Singleplayer,Puzzle",2564,0.81
1274570,DEVOUR,"Jan 28, 2021",1000000 - 2000000,3.99,0,41425,3672,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Indie,"Horror,Online Co-Op,Multiplayer,Survival Horror,Co-op,Dark,Survival,Psychological Horror,First-Person,Indie,Atmospheric,Difficult,Sexual Content,Singleplayer,Puzzle,Stealth,Gore,Action,Violent,FPS",45097,0.92
7940,Call of Duty® 4: Modern Warfare®,"Nov 12, 2007",1000000 - 2000000,9.99,92,16788,1211,"Single-player,Multi-player",Action,"FPS,Action,Multiplayer,Shooter,Singleplayer,First-Person,Classic,Military,War,PvP,Great Soundtrack,Linear,Story Rich,Modern,Co-op,Atmospheric,Controller,Moddable,Competitive,Zombies",17999,0.93
638230,Journey,"Jun 11, 2020",500000 - 1000000,14.99,0,20432,1120,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Adventure,Indie","Adventure,Beautiful,Indie,Atmospheric,Exploration,Great Soundtrack,Relaxing,Co-op,Walking Simulator,Casual,Multiplayer,Story Rich,Stylized,Classic,Family Friendly,Music,Mystery,Narrative,3D,Singleplayer",21552,0.95
926140,CHANGE: A Homeless Survival Experience,"May 1, 2020",100000 - 200000,14.99,0,1640,145,"Single-player,Steam Achievements","Adventure,Casual,Indie,RPG,Simulation,Strategy","Rogue-like,RPG,Choose Your Own Adventure,Rogue-lite,Story Rich,Survival,Strategy,Simulation,Strategy RPG,Replay Value,Female Protagonist,Conversation,Time Management,Political,Singleplayer,2D,LGBTQ+,Crime,Dynamic Narration,Character Customization",1785,0.92
